,gray_mean,gray_std_dev,adaptive_mean,adaptive_std_dev,clahe_mean,clahe_std_dev,sobel_std_dev,sobel_mean,Histeq_mean,Histeq_std,label
0,75.21618652,59.84922272,59.3260498,65.52542773,107.2268677,64.07022616,769.7446405,22.89593506,127.8929443,73.3951882,Attack
1,103.0291748,56.94382536,91.24731445,65.94076556,119.8783569,62.01281437,686.0807447,14.8013916,128.1558838,73.60798441,Attack
2,89.33911133,67.94739064,70.1305542,79.67036877,110.4155884,59.23040023,440.6923542,26.06427002,128.4572754,72.97810604,Attack
3,102.6727905,43.82941232,89.32531738,52.57383089,122.9680786,63.05336296,603.8087878,-0.795166016,128.6864014,73.24352654,Attack
4,105.0632935,64.89839723,92.4196167,74.75504845,119.098999,61.54098481,673.7785787,5.346679688,128.1625366,73.54116859,Attack
5,95.41827393,59.51508073,81.68084717,68.37647382,115.8754272,62.94220165,761.3711309,-20.68811035,128.1943359,73.51557985,Attack
6,97.29193115,75.08207858,80.05175781,86.8026755,111.6311646,59.22457308,440.8447731,13.72998047,128.7247314,72.86179115,Attack
7,89.99951172,55.91414382,78.28094482,62.64828299,114.6356812,64.59497571,716.0879092,13.08032227,127.8557129,73.65576479,Attack
8,70.79193115,48.29982304,50.78302002,55.65491736,108.6827393,62.27622581,669.8087526,10.83374023,128.4342041,73.27182403,Attack
9,90.40240479,59.36350832,74.86236572,68.82929227,114.1228638,62.87542308,717.5834012,-18.87384033,128.2077026,73.41414198,Attack
10,80.15283203,57.47248477,63.29614258,67.38197378,110.7210083,60.85176648,660.875888,28.76422119,128.352356,73.19232046,Attack
11,64.28399658,56.2050936,48.95410156,60.64131218,100.144043,66.89317257,694.2760272,59.07305908,127.9006348,72.83159295,Attack
12,81.06549072,55.61209511,61.80621338,64.67655578,112.3434448,64.98186178,735.1064936,30.49737549,127.7715454,73.48445054,Attack
13,72.71716309,40.83726945,44.89172363,52.62625601,116.6242676,63.55547306,617.7494166,-3.9609375,128.4708862,73.40985854,Attack
14,78.08306885,46.24274776,60.48083496,53.78958389,113.6829224,64.27432861,716.2031534,21.8807373,128.3081055,73.46714025,Attack
15,104.026062,43.85508715,92.04742432,55.96442927,123.2733765,59.92533122,505.2538526,36.74639893,128.414917,73.70554448,Attack
16,86.89440918,39.86679123,64.88970947,52.5795631,120.9281616,62.25596226,603.4786859,-17.86608887,128.7171021,73.39594975,Attack
17,55.51824951,45.0822589,35.5668335,50.36604465,95.85235596,58.0137775,537.1928148,19.2833252,128.8230591,72.72765814,Attack
18,109.421875,43.6600023,99.60528564,50.49559705,126.4382935,63.43686577,742.4134336,12.99359131,128.3168945,73.53639895,Attack
19,91.1237793,45.07336886,75.91571045,58.25270256,118.7514038,59.07054471,476.3965204,40.22149658,128.3120117,73.62583024,Attack
20,92.40008545,47.29065352,77.15686035,60.14888595,119.5171509,58.47721807,519.3051318,42.02740479,128.3168335,73.58603592,Attack
21,75.07452393,47.13193775,54.29382324,56.30049683,113.3150635,61.62839987,630.750402,23.33813477,128.3939819,73.37235801,Attack
22,95.64599609,44.06228722,82.28430176,56.59552823,121.2817383,59.43546546,468.9673832,29.56335449,128.3401489,73.641737,Attack
23,61.65216064,37.42554512,31.4800415,47.4318175,113.2671509,59.85785657,521.2625936,21.82763672,128.574646,73.37157226,Attack
24,100.5289307,57.14700276,89.18170166,65.18838858,117.7838135,62.52425714,768.3526653,-1.7890625,128.1036987,73.56314336,Attack
25,101.6918945,41.87660378,89.51574707,54.63533223,123.7944336,59.80867917,494.7792459,50.23852539,128.4202881,73.68958144,Attack
26,98.11315918,55.59114039,82.62017822,65.79303606,120.2893066,63.87360809,779.056169,69.49597168,128.1712036,73.48497251,Attack
